,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,111.15092647937837,374.5617154811716,2470.5333285835513,2.5692151927223303,0.046580041482327667,77.52719650366792,-29812.0,0.04630339350463169,0,0
1,124.95607763023493,1039.6744491463592,2529.97084590303,2.5148617065717724,0.030152471446882774,81.95732201816324,-30288.0,0.05043003932155823,0,1
2,232.20075508864085,216.96848325673014,2249.0270528587857,2.5803248178209857,0.030917035976065495,66.8210598436376,-27018.0,0.03127939147792853,0,2
3,248.14690110986407,513.9090909090909,2960.431375061491,2.5287719582654815,0.032026231711733105,94.14016718302534,-32656.0,0.09059765893590398,0,3
4,491.0243967471004,1053.3076923076924,2769.1976236857768,2.569731412177007,0.03046733460169819,85.64909328024267,-29221.0,0.042032902624288784,0,4
5,531.9626758023801,1248.3690948431301,2047.4563419492492,2.5745291812035016,0.03607772359314317,62.76011145535023,-23471.0,0.022153877283800177,0,5
6,537.8305724126619,1177.8277841561423,2250.8729384898256,2.5290505018430456,0.03427992812561186,72.72789386296468,-25643.0,0.026972445425239588,0,6
7,553.4795664534471,283.75213219616205,2077.7288662983005,2.550485272331152,0.040779826112655945,67.92859122226142,-26559.0,0.029696454246575802,0,7
8,617.0256953268389,512.8871946915149,2614.8815849308567,2.5488313034986767,0.04971214464746059,80.48061351333146,-29633.0,0.04492108739433665,0,8
9,678.3017333946924,519.0210154931738,2406.6656857495773,2.5988657891646705,0.04311194220280499,72.35871673675673,-28562.0,0.03811332107208752,0,9
19,678.2638784414021,519.1086204302693,2421.511921420848,2.596244293025166,0.041849106382812896,72.8602955143929,-28533.0,0.02756838334792929,1,9
18,617.0281946977136,512.9555337354468,2597.105233610535,2.5525752373365984,0.04542666367454894,79.78202358826023,-29737.0,0.033290147198986604,1,8
16,537.9065557729941,1177.9076973255055,2233.8966604712864,2.5275068610809903,0.03383677540719519,71.767391081677,-25680.0,0.019589882050348062,1,6
15,532.0054539057002,1248.435608726249,2070.6895985190463,2.591227826094737,0.039783746066616735,62.659854142377895,-23509.0,0.016054309831003893,1,5
17,553.5964756140976,283.8355286578854,2046.6457009992967,2.5416782171406673,0.03607845970509035,65.57426596295362,-26616.0,0.021645025806181068,1,7
13,248.2182109413504,514.0139231148349,2956.670791974064,2.5354558218871124,0.032075393871495356,92.53257530327899,-32704.0,0.06814178562412126,1,3
12,232.26447089515733,217.03978477091147,2234.2609619488585,2.5800726394267923,0.02964887706010058,67.03147187324147,-27033.0,0.022706272721099725,1,2
11,124.9574529251114,1039.622107230128,2534.445379468157,2.5178106398781748,0.03342606011115216,83.06073688640791,-30313.0,0.03695998071689061,1,1
10,111.19316843345112,374.7052414605418,2474.335635668783,2.554990036607064,0.04372206466872892,77.23191324525648,-29830.0,0.033832534642984996,1,0
14,491.062245567958,1053.3448456992778,2774.15575171051,2.570553999832301,0.02877980506334656,86.33945018455559,-29233.0,0.03062907554418688,1,4
30,678.087993064586,518.1507007657852,2483.6058146191444,2.596942841597721,0.03763046664612064,73.92324776933157,-28422.0,0.016850943095349603,2,9
29,616.917372881356,512.2624293785311,2540.663078674114,2.548983402099902,0.03807724593683482,79.30600852923435,-29778.0,0.021571179728978946,2,8
28,553.448306280875,282.9329569513056,2033.9658658085984,2.57090693256149,0.02334266942104383,62.79887553219914,-26598.0,0.01301890732941701,2,7
27,537.8447204968944,1177.406341941811,2195.448688605682,2.5765177926664458,0.03467179898613202,67.82278557477507,-25766.0,0.011795374648948429,2,6
26,531.909355723098,1247.7715901302263,2094.2527863195096,2.550853584507667,0.042573856511297394,66.02853198814081,-23391.0,0.009300323826624218,2,5
25,490.98846552617937,1052.3819336443753,2768.892134893992,2.5805830775655583,0.041224703840747605,84.68876928913713,-29254.0,0.019464255342762856,2,4
23,248.06883226663447,513.3886004105784,2971.6427901836637,2.5683742544325634,0.04612370265809946,91.14808220102047,-32667.0,0.05349969389703638,2,3
22,232.17928413050365,216.50475134621476,2265.783429201745,2.614589557768246,0.054123549763521725,68.89933772675563,-26966.0,0.013644944469982656,2,2
21,124.76149306985042,1039.093316865651,2614.9451771607723,2.5089930195756627,0.02870702904544914,84.68876928913713,-30284.0,0.024089158184789627,2,1
